Instrument,Date,Net Cash Flow from Operating Activities,Net Cash Flow from Investing Activities,Net Cash Flow from Financing Activities,Net Cash - Beginning Balance,Net Cash - Ending Balance,Net Change in Cash - Total,Non-cash Items & Reconciliation Adjustments - Cash Flow,Working Capital - Increase/(Decrease) - Cash Flow,Capital Expenditures - Net - Cash Flow,Investments excluding Loans - Decrease/(Increase) - CF,Debt - LT & ST - Issuance/(Retirement) - Total - CF,Capital Expenditures - Total,Assets Sale - Gain/(Loss) - Cash Flow - to Reconcile,Cash Flow from Operating Actvs bef Changes in Working Cap,Cash Flow from Op Actvs bef Changes in Working Cap & Int,Depreciation & Depletion - PPE - CF - to Reconcile,"Depreciation, Depletion & Amort incl Impair -CF to Reconcile",Financial Income/(Expense) - Cash Flow - to Reconcile,Impairment - PPE including Intangibles - CF - to Reconcile,Income Taxes - Paid/(Reimbursed) - Cash Flow,Interest & Dividends - Received - Total - Cash Flow,Interest Paid - Cash,Other Non-Cash Items & adjustments - CF - to Reconcile,Profit/(Loss) - Starting Line - Cash Flow,Accounts Payable - Increase/(Decrease) - Cash Flow,Accounts Receivables - Decrease/(Increase) - Cash Flow,Inventories - Decrease/(Increase) - Cash Flow,Other Assets - Decrease/(Increase) - Cash Flow,Other Liabilities - Increase/(Decrease) -Total - Cash Flow,Fixed Assets - Purchased - Cash Flow,Intangible Assets - Purchased/(Sold) - Net - Total - CF,Intangible Assets - Purchased/Acquired - Cash Flow,Investment Securities Unclassifd - Sold/(Purch) Net Total CF,Other Investing Cash Flow - Decrease/(Increase),"Property, Plant & Equipment - Purchased/(Sold) - Net - CF",Property Plant & Equipment - Purchased - Cash Flow,Property Plant & Equipment Sold - Cash Flow,Debt - Issued - Long-Term - Cash Flow,Debt - Issued/(Reduced) - Long-Term - Cash Flow,Debt - Issued/(Reduced) - Short-Term - Total - Cash Flow,Debt - Reduced - Long-Term - Cash Flow,Net Cash from Continuing Operations,Depreciation Depletion & Amortization - Cash Flow,Free Cash Flow to Equity,Free Cash Flow Net of Dividends,Income Taxes - Paid/(Reimbursed) - Cash Flow - Supplemental,Interest & Dividends - Received - Cash Flow - Supplemental,Interest Paid - Cash Flow - Supplemental,Free Cash Flow,Target
GSTEEL.BK,2024-12-31,-1839158147.0,-508452889.0,2024630390.0,522827295.0,199843953.0,-322983342.0,760932098.0,-674203949.0,508452889.0,12941704.642857144,2024630390.0,508452889.0,106789170.44444445,-1164954198.0,-993150226.0,443827875.0,447947211.0,209121114.0,4119336.0,31910003.23529412,1390970.0,171803972.0,100740276.0,-1755473294.0,61497149.0,25042238.0,-238265256.0,-220284139.0,-302193941.0,62298861.0,11737880.0,11737880.0,12941704.642857144,-979390934.3333334,496715009.0,722628985.5,2653721.6428571427,1085000000.0,924630390.0,1100000000.0,160369610.0,-322983342.0,443827875.0,-322980646.0,-2347611036.0,31910003.23529412,1390970.0,171803972.0,-2347611036.0,1
GSTEEL.BK,2023-12-31,-944479038.0,-139459204.0,842081049.0,764688392.0,522827295.0,-241861097.0,573237679.0,-167101148.0,139459204.0,12941704.642857144,842081049.0,139459204.0,0.0,-777377890.0,-437842738.0,463167760.0,463167760.0,224249755.0,0.0,0.0,2774367.0,339535152.0,-118641975.0,-1013854784.0,-171411228.0,21040043.0,788927494.0,9102823.0,-762970230.0,62298861.0,577000.0,577000.0,12941704.642857144,-979390934.3333334,138882204.0,138882204.0,0.0,709157647.1666666,-157918951.0,1000000000.0,157918951.0,-241861097.0,463167760.0,-241857193.0,-1083938242.0,0.0,2774367.0,339535152.0,-1083938242.0,1
GSTEEL.BK,2022-12-31,-437839487.0,-45741200.0,829231376.0,419024261.0,764688392.0,345664131.0,2861001508.0,-13720421.0,45741200.0,12941704.642857144,829231376.0,45834648.0,-93438.0,-424119066.0,631308869.0,463009265.0,1959409265.0,308888857.0,1496400000.0,227776230.0,1538764.0,1055427935.0,553624058.0,-2003455173.0,192120298.0,-42825145.0,-49384353.0,145558758.0,-259189979.0,62298861.0,189500.0,189500.0,12941704.642857144,-979390934.3333334,45551700.0,45645148.0,93448.0,709157647.1666666,-1223217833.0,2052449209.0,1223217833.0,345664131.0,463009265.0,345650689.0,-483674135.0,227776230.0,1538764.0,1055427935.0,-483674135.0,1
GSTEEL.BK,2021-12-31,1528675176.0,-188725390.0,-1254229733.0,330774211.0,419024261.0,88250050.0,1296044449.0,-966283741.0,188725390.0,12941704.642857144,-1254229733.0,188725390.0,0.0,2494958917.0,2621678364.0,452847670.0,452847670.0,477079949.0,0.0,8482.0,526341.0,126719447.0,262719831.0,1325116056.0,24577989.0,931505.0,-715827566.0,-129072415.0,-146893254.0,62298861.0,139750.0,139750.0,12941704.642857144,0.0,188585640.0,188585640.0,0.0,709157647.1666666,-133557995.0,-1120671738.0,133557995.0,88250050.0,452847670.0,85720053.0,1339949786.0,8482.0,526341.0,126719447.0,1339949786.0,1
GSTEEL.BK,2020-12-31,377155852.0,-16870499.0,-69570078.0,40062054.0,330774211.0,290712157.0,677355391.0,325579168.0,16870499.0,12941704.642857144,-69570078.0,17903675.0,22213404.0,51576684.0,78948356.0,445269848.0,450141422.0,617366119.0,4871574.0,165720.0,1518768.0,27371672.0,-171097191.0,-599760083.0,425392319.0,25586181.0,120532903.0,-39802640.0,-206129595.0,62298861.0,0.0,0.0,12941704.642857144,0.0,16870499.0,17903675.0,1033176.0,709157647.1666666,-69570078.0,0.0,69570078.0,290712157.0,445269848.0,290715275.0,359252177.0,165720.0,1518768.0,27371672.0,359252177.0,1
GSTEEL.BK,2019-12-31,-1056187291.0,-136693971.0,1399746391.0,258184077.0,464124155.0,205940078.0,-2593351326.0,546163945.0,137110925.0,416954.0,-29411155.0,157022004.0,106789170.44444445,-1602351236.0,-1141518321.0,1819252315.0,2769825468.0,1136156885.0,950573153.0,8649150.0,3170957.0,460832915.0,-6505472378.0,1457311198.0,-948380823.0,-22198069.0,1958486265.0,-183595976.0,-258147452.0,62298861.0,1617100.0,1617100.0,416954.0,-979390934.3333334,135493825.0,155404904.0,19911079.0,966587810.0,797171548.0,-826582703.0,169416262.0,205940078.0,1819252315.0,-1222709371.0,-1213209295.0,8649150.0,3170957.0,460832915.0,-1213209295.0,1
GSTEEL.BK,2018-12-31,316881116.0,-51119128.0,-598372604.0,590829674.0,258184077.0,-332645597.0,3148858731.0,218985204.0,119142073.0,22945.0,-598372604.0,119142073.0,0.0,97895912.0,632200948.0,1865349912.0,1865513461.0,1095343329.0,163549.0,164345364.0,5983225.0,534305036.0,148178080.0,-2358295644.0,1200110419.0,34394987.0,-660628983.0,-28026100.0,-326865119.0,62298861.0,3402311.0,3402311.0,22945.0,-979390934.3333334,115739762.0,722628985.5,2653721.6428571427,709157647.1666666,-368388941.0,-229983663.0,368388941.0,-332645597.0,1865349912.0,-400633561.0,197739043.0,164345364.0,5983225.0,534305036.0,197739043.0,1
GSTEEL.BK,2017-12-31,-612526801.0,128129210.0,452581847.0,623204436.0,590829674.0,-32374762.0,689490524.0,-865570355.0,14279064.0,82266984.0,452581847.0,14279064.0,-3950374.0,253043554.0,1029488771.0,1910076064.0,1917879994.0,990770905.0,7803930.0,29603040.0,4062068.0,776445217.0,-2237374033.0,365539219.0,593180298.0,52386986.0,-2123910237.0,-553284457.0,1166057055.0,62298861.0,407918.0,407918.0,82266984.0,-979390934.3333334,13871146.0,722628985.5,2653721.6428571427,1443358073.0,503592170.0,-51010323.0,939765903.0,-32374762.0,1910076064.0,-174224018.0,-626805865.0,29603040.0,4062068.0,776445217.0,-626805865.0,1
GSTEEL.BK,2016-12-31,576153923.0,-34259402.0,-77031971.0,159332714.0,623204436.0,463871722.0,2762314037.0,-1031900867.0,35212445.0,953043.0,-77031971.0,35212445.0,46927.0,1608054790.0,1710089997.0,1905923047.0,1904796784.0,672668863.0,-1126263.0,7044573.0,3312727.0,102035207.0,163377025.0,-1048492194.0,-508781740.0,-30734699.0,-234397377.0,-259607638.0,1620587.0,62298861.0,1454200.0,1454200.0,953043.0,-979390934.3333334,33758245.0,722628985.5,2653721.6428571427,709157647.1666666,-45382738.0,-31649233.0,45382738.0,464824765.0,1905923047.0,463909507.0,540941478.0,7044573.0,3312727.0,102035207.0,540941478.0,1
GSTEEL.BK,2015-12-31,1131033.0,53848445.0,-143258833.0,247870510.0,159332714.0,-88537796.0,3214668786.0,1316311365.0,-5848445.0,12941704.642857144,-143258839.0,747689129.6842105,0.0,-1315180332.0,-1157130852.0,1912025024.0,1912056352.0,688201327.0,31328.0,27928598.0,1558988.0,158049480.0,591671233.0,-4345430028.0,-670899539.0,64270174.0,1751788390.0,533081503.0,-361929163.0,62298861.0,3411165.1428571427,3411165.1428571427,12941704.642857144,-979390934.3333334,-5848445.0,722628985.5,2653721.6428571427,709157647.1666666,-79059036.0,-64199803.0,79059036.0,-88537796.0,1912025024.0,-136279361.0,-662801993.4210526,27928598.0,1558988.0,158049480.0,-613292551.3157895,1
GSTEEL.BK,2014-12-31,-513227397.0,106582435.0,438129953.0,216359866.0,247870510.0,31510644.0,2910397573.0,-1067363681.0,1506768.0,0.0,402129953.0,1506768.0,84018600.0,554136284.0,728384902.0,1955072436.0,1955816523.0,470194535.0,744087.0,20464337.0,4226470.0,174248618.0,380133434.0,-2165774804.0,1107881185.0,-58724906.0,-1958935070.0,-322252044.0,164667154.0,62298861.0,3411165.1428571427,3411165.1428571427,0.0,-979390934.3333334,1506768.0,1506768.0,0.0,400000000.0,381753635.0,20376318.0,18246365.0,31510644.0,1955072436.0,-112604212.0,-514734165.0,20464337.0,4226470.0,174248618.0,-514734165.0,1
GSTEEL.BK,2013-12-31,-2233357494.0,38054453.0,2358008109.0,53505991.0,216359866.0,162853875.0,479788755.0,-241128934.0,53945547.0,40000000.0,-1123936589.0,54383603.0,-423133.0,-1992228560.0,-1861688093.0,1884362360.0,1970986332.0,792057470.0,86623972.0,14447987.0,4475732.0,130540467.0,-2298550944.0,-2331504593.0,458607303.0,-21102200.0,-570226648.0,-422808675.0,-79056376.0,62298861.0,3411165.1428571427,3411165.1428571427,40000000.0,-979390934.3333334,53945547.0,54383603.0,438056.0,0.0,-714921967.0,-409014622.0,714921967.0,162853875.0,1884362360.0,-3411239630.0,-2287741097.0,14447987.0,4475732.0,130540467.0,-2287741097.0,1
