Instrument,Date,Cash Flow from Operations Pct of Capital Expenditures,CAPEX to Depreciation & Amortization,CAPEX to Cash Flow from Operations,Depreciation & Depletion Pct of Cash Flow from Ops,"Depreciation & Depletion Pct of Cash Flow from Ops, TTM","Price to Cash Flow from Operations per Share, TTM","Price to Cash Flow from Operations per Share - Issue, TTM",Free Cash Flow Yield - %,"Free Cash Flow Yield - %, TTM","Free Cash Flow Yield - %, 3 Yr Avg","Free Cash Flow Yield - %, 5 Yr Avg",Cash Flow from Operations per Share,Capital Expenditures - Total per Share,"Cash Flow from Operations per Share, TTM",Free Cash Flow Net of Dividends per Share,"Free Cash Flow Net of Dividends per Share, TTM",Free Cash Flow per Share,"Free Cash Flow per Share, TTM","Capital Expenditures - Total per Share, TTM","Free Cash Flow Net of Dividends per Share, 3 Yr Avg","Free Cash Flow Net of Dividends per Share, 5 Yr Avg","Free Cash Flow Net of Dividends per Share, Annualized","Free Cash Flow per Share, 3 Yr Avg","Free Cash Flow per Share, 5 Yr Avg","Free Cash Flow per Share, Annualized","Cash Flow from Operations per Share, PoP % Chg","Cash Flow from Operations per Share, YoY % Chg",Target
GENCO.BK,2005-12-31,125.04029277777778,1.109523888888889,1.905984,1832.0770886666664,347.616778677455,37.3792634588812,37.3792634588812,-1.20655270655271,-19.995356659175,-6.1025919357779,2.45685651563347,-0.009411111111111,0.035133897680245614,0.00882842435788,-0.009411111111111,-0.085984047908844,-0.009411111111111,-0.065984676975278,0.074813101333158,-0.057824252906595,-0.004201279332241,0.014928560398629,-0.047752781897462,0.02962968957854,0.014928560398629,80.4347323924141,-32.9784043191362,0
LHK.BK,2024-03-31,2723.55893,0.29191,0.03672,12.48347,28.7996517073819,9.06724227902649,9.06724227902649,22.9008335509138,9.58832596907009,12.2408816671103,15.7418333349879,0.950949018276762,0.034915676240209,0.401445101827676,0.561959295039164,0.014993237597911,0.916033342036554,0.349015065274151,0.052430036553525,-0.004072235857267,0.080986574934726,-0.464858099670791,0.534314484769365,0.579614303394256,0.220060733340901,54.5589922888865,-60.1834781845317,0
LHK.BK,2023-03-31,2268.60589,0.21702,0.04408,20.16814,23.0398057281287,7.90029173599805,7.90029173599805,11.8577655184031,11.5192815296884,12.0808693979449,10.661369643532,0.615266057441253,0.02712088772846,0.508841968668407,-0.16840927154047,0.107800026109661,0.588145169712794,0.463075117493473,0.045766851174935,-0.032046425369887,-0.154697486684073,-0.642147661482575,0.52813534051349,0.387434172845953,-0.205734618004314,71.6819786323831,-114.806429499206,0
LHK.BK,2022-03-31,630.14834,0.45557,0.15869,34.55833,14.0140606749189,4.73154364145178,4.73154364145178,7.21301066873212,19.9137180681475,12.3404735693518,14.0575128833443,0.358375446475196,0.056871600522193,0.841163117493473,-0.29405915926893,0.45729088772846,0.301503845953003,0.792565979112272,0.048597138381201,-0.025961650565709,0.007843531592689,-0.215036752185265,0.536193576588338,0.502977810966057,-0.011177063230787,-42.7738868825286,-89.3554625241728,0
LHK.BK,2021-03-31,1291.17309,0.35334,0.07745,21.75587,12.4834659466772,4.20632433823687,4.20632433823687,17.4018861084023,22.9008335509138,12.1011925281692,18.548578232958,0.626244605744125,0.04850198694517,0.950949018276762,0.221135861618799,0.561959295039164,0.577742618798956,0.916033342036554,0.034915676240209,-0.038172350087032,0.209628918015666,1.38152376731184,0.520956338337685,0.660700356657964,1.38152749645249,-17.4827818548715,-10.6065791869689,0
LHK.BK,2020-03-31,310.67943,1.74127,0.32188,18.38134,11.944530584693,4.36758649737809,4.36758649737809,26.3921302805115,22.2781340616766,11.5990296916725,19.8051160825496,0.758925979112272,0.244279438642298,0.993683812010444,0.084306148825065,0.612796994778068,0.514646540469974,0.966871018276762,0.026812793733681,-0.066574302872063,0.246902171279373,-0.096657253944829,0.492765444734552,0.681692095561358,0.672581592689295,68.8766131663784,-61.6716297380508,0
LHK.BK,2019-03-31,90.9224,3.40103,1.09984,32.22387,9.3891394570075,3.5602349109238,3.5602349109238,-1.19327954002555,27.5400004580642,11.5257594567917,16.7258257602188,0.449396731070496,0.494264041775457,1.28081436031332,-0.61646101305483,0.854256524804178,-0.044867310704961,1.25582402088773,0.024990339425587,-0.086994667101828,0.223323002088773,0.744419343852878,0.47255613772846,0.620862652219321,1.10148456124418,-64.2586819825006,1357.96948974224,0
LHK.BK,2018-03-31,1374.22629,0.4967,0.07277,14.60934,12.0729615052626,4.52924525403191,4.52924525403191,24.911610263105,21.5793266215923,10.7501568251901,20.6598680576329,1.2573591462141,0.091495785900783,1.01120600522193,0.644295819843342,0.226765663185379,1.16586336031332,0.98833315926893,0.022872845953003,-0.140053847693647,0.402433726370757,0.200223776819162,0.419614454743255,0.74292885535248,0.478666278805767,11.6847197656789,144.992733391976,0
LHK.BK,2017-03-31,3154.00281,0.1649,0.03171,19.18974,20.1681422501208,8.06155311188053,8.06155311188053,26.588209132013,11.8577655184031,10.3555459616436,15.5729107690985,1.12581125587467,0.035694681462141,0.615266057441253,0.714867772845953,-0.16840927154047,1.09011657441253,0.588145169712794,0.02712088772846,-0.150535787206266,0.263837201486312,1.58161399946078,0.385916679503916,0.549412291933796,1.58161763537291,31.8817234743841,263.153085996036,0
LHK.BK,2016-03-31,499.35519,0.71352,0.20026,28.02324,38.6712660421743,15.2178307014477,15.2178307014477,25.0993129895561,5.74189502005986,10.9266399539779,11.7905043467347,0.853652216710183,0.170950903394256,0.323304950391645,0.407502127937337,-0.474053937336815,0.682701313315927,0.282501234986945,0.0408037154047,-0.129476168842472,0.130788351917121,0.861307185832671,0.379791793733681,0.385313682051289,1.81897122261324,99.9079967375042,444.008874312723,0
LHK.BK,2015-03-31,197.2179,0.93807,0.50705,53.96956,20.814413984887434,6.244658577157116,6.244658577157116,6.37876738666034,-6.74793445387293,11.9427737235442,7.51751448392526,0.427022545691906,0.216523221932115,-0.277614109660574,-0.033589697127937,-1.18695733159269,0.210499323759791,-0.323900853785901,0.046286744125326,-0.088867576588338,0.021599490704654,-1.74508244409127,0.393215824847694,0.251084983763104,0.040243642865251,-57.2702055762561,-89.0594650590622,0
LHK.BK,2014-03-31,230.32367,2.05275,0.43417,21.10728,20.814413984887434,6.244658577157116,6.244658577157116,17.7818775144917,-3.82257459055305,15.2720812059241,9.6479069594705,0.999355488250653,0.433891783289817,-0.115997921671018,0.279092608355091,-0.761249759791123,0.565463704960836,-0.168193281984334,0.052195360313316,0.031213818102698,0.111856850130241,-1.36758982290839,0.483488637510879,0.292524539011146,-1.10903607106369,83.4618578842,-235.657677990064,0
LHK.BK,2013-03-31,157.23364,1.72013,0.636,36.87161,34.5583306612325,11.6637454968314,11.6637454968314,4.56867611105742,7.21301066873212,16.2399411887394,13.2673505414999,0.544721120660099,0.346440577440207,0.358375446475196,-0.048686804578885,-0.29405915926893,0.198280543219892,0.301503845953003,0.056871600522193,0.055751261531767,0.201149726584223,0.370607612385061,0.506550832245431,0.346543196143978,0.370614148739925,15.056716464337,21.7186005292821,0
